firstFloorContent,title,href,positive_prob,confidence
“三位一体”最后的录取分和当年入围考生高考成绩相关，每年可能有较大波动，2018年录取数据仅供参考，具体以高校招生官网公布为准。,求是高复生们看过来， 杭州电子科技大学“三位一体”能优惠几分,http://tieba.baidu.com/p/6055555050,0.697369,0.327486
发QQ群号会被度娘吞掉……想了解杭电的同学们私聊我鸭,三位一体报考杭州电子科技大学——杭州学军中学校友贴,http://tieba.baidu.com/p/5981380622,0.496933,0.938658
杜桥中学三位一体面试培训学员李同学(高考分560，位次83623，综合素质测试93.29)被杭州电子科技大学管理科学与工程类专业(2017该专业高考一段投档最低分601，最高分638，最低位次28989)正式录取！足足至少优惠41分进入该校！用二段的分数实现一段有些同学都实现不了的梦想，这就是三位一体的强大功能！,君泽教育 | 三位一体捷报（一）二段560分上杭州电子科技大学,http://tieba.baidu.com/p/5788926665,0.944916,0.877591
转载自 导航生涯。非原创，侵权可删。,三位一体和自招面试系列之 杭州电子科技大学,http://tieba.baidu.com/p/5639855906,0.282729,0.371713
杭州电子科技大学的三位一体今年有多少人报名知道吗,杭州电子科技大学的三位一体今年有多少人报名知道吗,http://tieba.baidu.com/p/5638689182,0.539211,0.215782
杭州电子科技大学三位一体艺术特长类初审通过会迟一点的吗，为什么我到现在还没有过啊。。。急死了!!!求哥哥姐姐帮忙解答一下哈。。。谢谢。。,杭州电子科技大学三位一体艺术特长类初审通过会迟一点的吗，为什,http://tieba.baidu.com/p/5611202559,0.947637,0.883638
除了高考，还有一种方式能够让你进入理想的大学。那就是【三位一体综合评价招生】进入2018年还有几个月就要高考了，相信给位学弟学妹也都在努力备战。但是你可知道，在浙江，我们有一种进入大学的方式叫做“三位一体”!话不多说，直接干货1.什么是三位一体2.三位一体考什么3.三位一体报名条件4.三位一体报名材料5.高三分秒必争，准备三位一体会分心吗6.怎么选学校和专业7.三位一体最后怎么录取8.三位一体能有多大帮助9.个人陈述怎么写10.自我介绍怎么说11.在小组面试中怎么突出自己12.面试需要注意什么细节13.面试着装注意事项【重点】！！！！！杭州电子科技大学2017年“三位一体”综合评价招生章程PS---------感谢顺佳三位一体小助手整理，更多三位一体资料请关注“顺佳三位一体”,【高考干货】通过“三位一体”报考杭州电子科技大学交流贴,http://tieba.baidu.com/p/5516403199,0.962452,0.916559
学弟学妹们来啦来啦,杭州电子科技大学三位一体来咯,http://tieba.baidu.com/p/5019254261,0.573018,0.0511514
"***********************************************************************经过几年的呼吁，学校的三位一体招生政策终于修改了（由以前的国家级三等奖，改成了省级三等奖）显然现在更合理~~~往年，看到一些优秀选手最后失去报名资格，真的好遗憾...... 还好，以后不会有这种遗憾了~***********************************************************************言归正传，这里有——1．成熟的培训机制(日常训练+暑期集训+多校联合训练)；2．良好的发展前景(集训队几乎所有的队员毕业后均进入""谷歌/百度/阿里/腾讯/网易/微软/完美""等IT名企)3．丰富的比赛机会(校赛/省赛/全国邀请赛/ACM亚洲赛/ACM全球总决赛)；4．可靠的获奖保证（2016赛季，8支队伍参加16个队次的ACM亚洲区比赛，获得5金9银2铜，获奖率100%，并入围2017年美国全球总决赛）特别说明——1、有信息学基础的实力派选手，大一入学就有参加ACM亚洲赛的机会（每年会预留参赛名额给大一新生）；2、杭电虽非名校，但已经有4次入围ACM全球总决赛的经历（2010、2011、2015、2017）3、2016年杭电参加ACM亚洲区比赛队伍中就有2位大一新生，均获得 亚洲区铜牌。（两人分别为NOIP二等和三等，通过三位一体和高考来到杭电）。如果你""酷爱编程""，喜欢参加编程比赛（比如有""信息学竞赛""经历）；如果你""擅长数学""（比如有""奥数竞赛""经历）；杭州电子科技大学-计算机学院——一定是你很好的选择!同时，期待喜欢编程的你加入杭电ACM集训队~如有疑问，欢迎咨询（562195513@qq.com 刘春英 老师）",【HDU】欢迎NOIP选手——报名“杭州电子科技大学”三位一体,http://tieba.baidu.com/p/4990047886,0.858419,0.685375
杭电校门镇楼,杭州电子科技大学三位一体指北,http://tieba.baidu.com/p/4961429815,0.632839,0.184086
